Feature,IV
distancePrevTrxV0 term_country,0.0
previous_trx,0.0
trx_reversal,0.0131
distancePrevTrxV1 term_mcc,0.0142
TRX_3D_SECURED,0.0231
distancePrevTrxV3 ecom term_country term_mcc,0.0463
distancePrevTrxV2 term_country term_mcc,0.0573
Hour,0.1214
trx_local_amt_val bins=5,0.2052
mcc_group,0.2608
ecom_indicator,0.3336
ecom_indicator_group,0.3352
trx_cnp,0.5076
ecom,0.5342
ch_present_group,0.5531
trx_authentication_s,0.6244
pos_entry_mode_group,0.7036
ch_present,0.8214
mcd_fraud_score,0.8784
trx_authentication,0.8815
pos_entry_mode,0.9238
country_group,1.1324
term_mcc,1.3053
vaa_score,1.4601
trx_response_code_group,1.5047
trx_winning_bit_group,1.5534
trx_response_code,1.6321
mcd_fraud_score (mcd only),1.6823
term_country,1.8862
trx_winning_bit,2.1425
vaa_score (visa only),3.3009
